SessionID,Configuration Name,Observer,DeviceID,Edited,Session Start Time,Recorded Start Time,Session End Time,DateTime,Date,Time,Year,Month,Hour,Project Animals,Duration,Habitat Map,Grid Size,Image Size,Notes,Channel Type,Subject Type,Focal Name,Group Count,Continuous Channel 1 Name,Location,Location.Duration,Continuous Channel 2 Name,Locomotion,Locomotion.Location,Locomotion.Duration,Continuous Channel 3 Name,Behaviours,Continuous Channel 3 Behavior Modifier 1,Behaviour.Duration
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:43,11/8/2021,12:43:27,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Walking,,1,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:43,11/8/2021,12:43:29,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,,,,,Other Behaviours,Preening,,10
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:43,11/8/2021,12:43:43,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Blue,,Location,Ice,439,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:07,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,Location,Cliff,20,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:11,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Standing,,4,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:15,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Climbing,,7,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:23,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Swimming,,28,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:26,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,Location,Pool,24,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:50,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,Location,Cliff,162,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:44,11/8/2021,12:44:52,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Standing,,144,,,,
