Date,Score,Name
2/28/2022,18,Gloria
03/03/2022,0,Gloria
3/14/2022,18,Gloria
3/15/2022,0,Gloria
8/30/2021,24,Hansel
8/31/2021,0,Hansel
9/14/2021,0,Hansel
9/16/2021,24,Hansel
9/29/2021,24,Hansel
10/11/2021,24,Hansel
10/25/2021,24,Hansel
11/10/2021,24,Hansel
11/22/2021,24,Hansel
11/24/2021,0,Hansel
12/06/2021,24,Hansel
12/08/2021,0,Hansel
12/21/2021,24,Hansel
12/23/2021,0,Hansel
01/04/2022,24,Hansel
01/05/2022,0,Hansel
1/19/2022,24,Hansel
1/20/2022,0,Hansel
02/03/2022,0,Hansel
02/04/2022,24,Hansel
2/15/2022,18,Hansel
2/16/2022,0,Hansel
2/28/2022,18,Hansel
03/03/2022,0,Hansel
3/14/2022,30,Hansel
3/15/2022,0,Hansel
8/30/2021,18,Percy
8/31/2021,0,Percy
9/14/2021,0,Percy
9/16/2021,18,Percy
9/29/2021,18,Percy
10/11/2021,18,Percy
10/25/2021,18,Percy
11/10/2021,18,Percy
11/22/2021,18,Percy
11/24/2021,0,Percy
12/06/2021,24,Percy
12/08/2021,0,Percy
12/21/2021,18,Percy
12/23/2021,0,Percy
01/04/2022,18,Percy
01/05/2022,0,Percy
1/19/2022,18,Percy
1/20/2022,0,Percy
02/03/2022,0,Percy
02/04/2022,18,Percy
2/15/2022,18,Percy
2/16/2022,0,Percy
2/28/2022,18,Percy
03/03/2022,0,Percy
3/14/2022,18,Percy
3/15/2022,0,Percy
8/30/2021,24,Brix
8/31/2021,0,Brix
9/14/2021,0,Brix
9/16/2021,24,Brix
9/29/2021,24,Brix
10/11/2021,24,Brix
10/25/2021,24,Brix
11/10/2021,24,Brix
11/22/2021,24,Brix
11/24/2021,0,Brix
12/06/2021,24,Brix
12/08/2021,0,Brix
12/21/2021,24,Brix
12/23/2021,0,Brix
01/04/2022,30,Brix
01/05/2022,0,Brix
1/19/2022,30,Brix
1/20/2022,0,Brix
02/03/2022,0,Brix
02/04/2022,30,Brix
2/15/2022,24,Brix
2/16/2022,0,Brix
2/28/2022,12,Brix
03/03/2022,0,Brix
3/14/2022,24,Brix
3/15/2022,0,Brix
8/30/2021,24,Arlo
8/31/2021,0,Arlo
9/14/2021,0,Arlo
9/16/2021,24,Arlo
9/29/2021,24,Arlo
10/11/2021,24,Arlo
10/25/2021,12,Arlo
11/10/2021,12,Arlo
11/22/2021,24,Arlo
11/24/2021,0,Arlo
12/06/2021,24,Arlo
12/08/2021,0,Arlo
12/21/2021,24,Arlo
12/23/2021,0,Arlo
01/04/2022,24,Arlo
01/05/2022,0,Arlo
1/19/2022,24,Arlo
1/20/2022,0,Arlo
02/03/2022,0,Arlo
02/04/2022,24,Arlo
